PBD1,,pBD1GPP,
X,Y,X,Y
-0.491103203,2.228136882,0.210909091,4.653846154
-0.310794781,2.560836502,0.278787879,4.701923077
-0.234875445,2.731939163,0.463030303,4.855769231
-0.045077106,3.102661597,0.715151515,5.115384615
0.201660735,3.587452471,0.792727273,5.192307692
0.258600237,3.720532319,0.938181818,5.288461538
0.457888493,4.053231939,1.219393939,5.384615385
0.704626335,4.52851711,1.287272727,5.442307692
0.790035587,4.633079848,1.452121212,5.480769231
0.970344009,4.908745247,1.694545455,5.471153846
1.198102017,5.212927757,1.781818182,5.451923077
1.274021352,5.365019011,1.956363636,5.423076923
1.454329775,5.498098859,2.227878788,5.403846154
1.691577699,5.640684411,2.431515152,5.355769231
1.767497034,5.669201521,2.712727273,5.317307692
1.93831554,5.726235741,2.770909091,5.278846154
2.194543298,5.792775665,2.955151515,5.259615385
2.431791222,5.840304183,3.265454545,5.211538462
2.697508897,5.878326996,3.44,5.192307692
2.925266904,5.925855513,3.934545455,5.115384615
3.181494662,5.94486692,4.07030303,5.105769231
3.266903915,5.954372624,4.167272727,5.105769231
3.456702254,5.97338403,4.303030303,5.105769231
3.674970344,5.992395437,4.429090909,5.105769231
3.798339265,5.992395437,4.555151515,5.134615385
3.921708185,5.992395437,4.690909091,5.125
4.045077106,6.001901141,4.807272727,5.144230769
4.177935943,6.001901141,4.923636364,5.163461538
4.320284698,6.011406844,5.059393939,5.211538462
4.415183867,6.020912548,5.185454545,5.259615385
4.557532622,6.030418251,5.301818182,5.336538462
4.671411625,6.039923954,5.418181818,5.394230769
4.823250297,6.030418251,5.553939394,5.461538462
4.975088968,6.039923954,5.631515152,5.519230769
5.164887307,6.068441065,5.709090909,5.576923077
5.259786477,6.068441065,5.776969697,5.615384615
5.364175563,6.077946768,5.864242424,5.653846154
5.46856465,6.087452471,5.99030303,5.711538462
5.667852906,6.096958175,6.096969697,5.798076923
5.810201661,6.115969582,6.203636364,5.865384615
5.952550415,6.134980989,6.32,5.923076923
6.09489917,6.173003802,6.436363636,6.009615385
6.275207592,6.201520913,6.572121212,6.125
