PBD1,,pBD1GPP,
X,Y,X,Y
0.676156584,2.275665399,0.433939394,3.730769231
0.752075919,2.465779468,0.686060606,3.990384615
0.941874259,2.826996198,0.783030303,4.076923077
1.036773428,3.02661597,0.957575758,4.269230769
1.169632266,3.235741445,1.054545455,4.394230769
1.274021352,3.425855513,1.19030303,4.471153846
1.397390273,3.673003802,1.277575758,4.615384615
1.549228944,3.977186312,1.423030303,4.730769231
1.644128114,4.119771863,1.558787879,4.826923077
1.758007117,4.404942966,1.655757576,4.913461538
1.881376038,4.595057034,1.791515152,5.067307692
1.928825623,4.690114068,1.917575758,5.182692308
2.042704626,4.880228137,2.063030303,5.298076923
2.137603796,5.032319392,2.16,5.326923077
2.241992883,5.127376426,2.227878788,5.384615385
2.393831554,5.336501901,2.460606061,5.423076923
2.536180308,5.460076046,2.538181818,5.451923077
2.631079478,5.517110266,2.635151515,5.442307692
2.735468565,5.593155894,2.741818182,5.442307692
2.868327402,5.669201521,2.935757576,5.432692308
3.029655991,5.716730038,3.042424242,5.413461538
3.12455516,5.735741445,3.158787879,5.394230769
3.228944247,5.764258555,3.275151515,5.403846154
3.361803084,5.802281369,3.401212121,5.394230769
3.523131673,5.849809886,3.566060606,5.384615385
3.627520759,5.868821293,3.653333333,5.355769231
3.75088968,5.878326996,3.76,5.355769231
3.883748517,5.897338403,3.924848485,5.326923077
4.073546856,5.91634981,4.060606061,5.336538462
4.263345196,5.935361217,4.235151515,5.288461538
4.377224199,5.954372624,4.380606061,5.288461538
4.481613286,5.97338403,4.516363636,5.288461538
4.548042705,6.001901141,4.623030303,5.269230769
4.642941874,5.992395437,4.797575758,5.259615385
4.81376038,6.001901141,4.875151515,5.278846154
4.889679715,6.020912548,5.020606061,5.307692308
5.03202847,6.030418251,5.117575758,5.326923077
5.145907473,6.039923954,5.282424242,5.403846154
5.269276394,6.039923954,5.379393939,5.413461538
5.383155397,6.058935361,5.534545455,5.461538462
5.534994069,6.068441065,5.650909091,5.5
5.753262159,6.106463878,5.738181818,5.538461538
5.819691578,6.106463878,5.815757576,5.615384615
5.933570581,6.125475285,5.893333333,5.663461538
6.018979834,6.134980989,5.970909091,5.701923077
6.161328588,6.153992395,6.058181818,5.75
6.275207592,6.182509506,6.145454545,5.817307692
6.446026097,6.211026616,6.261818182,5.875
,,6.436363636,6.009615385
,,6.591515152,6.125
,,6.717575758,6.201923077
,,6.882424242,6.278846154
,,6.998787879,6.346153846
