PBD1,,pBD1GPP,,,
X,Y,X,Y,,
3.8,5.57E+00,3.8,5.25,,
3.6,5.51E+00,3.6,5.15,,
3.4,5.45E+00,3.4,5.04,,750
3.2,5.42E+00,3.2,4.93,,
3,5.39E+00,3,4.81,,
2.8,5.36,2.8,4.69,,
2.6,5.35,2.6,4.59,,
2.4,5.34,2.4,4.49,,
2.2,5.32,2.2,4.41,,
2,5.31,2,4.34,,
1.8,5.3,1.8,4.29,,
1.6,5.29,1.6,4.26,,
1.4,5.27,1.4,4.26,,
1.2,5.26,1.2,4.27,,
1,5.24,1,4.29,,
0.8,5.23,0.8,4.33,,
0.6,5.21,0.6,4.37,,
0.4,5.19,0.4,4.41,,
0.2,5.17,0.2,4.45,,
0,5.15,0,4.48,,
-0.2,5.12,-0.2,4.51,,
-0.4,5.09,-0.4,4.53,,
-0.6,5.05,-0.6,4.56,,
-0.8,5.01,-0.8,4.59,,
-1,4.96,-1,4.61,,
-1.2,4.89,-1.2,4.64,,
-1.4,4.8,-1.4,4.66,,
-1.6,4.67,-1.6,4.66,,
-1.8,4.48,-1.8,4.63,,
-2,4.23,-2,4.54,,
-2.2,3.93,-2.2,4.4,,
-2.4,3.6,-2.4,4.23,,
-2.6,3.24,-2.6,4.05,,
-2.8,2.87,-2.8,3.86,,
-3,2.47,-3,3.66,,
-3.2,2.07,-3.2,3.46,,
