PBD176GP,,PBD176GPP,
X,Y,X,Y
-1.319354839,2.49078727,-1.422818792,3.883478261
-1.188709677,2.772194305,-1.302013423,4.008695652
-1,2.825795645,-1.120805369,4.140869565
-0.927419355,3.234505863,-1.060402685,4.328695652
-0.709677419,3.50921273,-0.833892617,4.44
-0.564516129,3.783919598,-0.758389262,4.565217391
-0.462903226,4.011725293,-0.577181208,4.711304348
-0.288709677,4.239530988,-0.395973154,4.836521739
-0.158064516,4.561139028,-0.350671141,4.989565217
0.016129032,4.788944724,-0.184563758,5.12173913
0.117741935,5.003350084,0.026845638,5.212173913
0.219354839,5.204355109,0.117449664,5.323478261
0.364516129,5.338358459,0.313758389,5.406956522
0.49516129,5.479061977,0.494966443,5.44173913
0.669354839,5.586264657,0.842281879,5.379130435
0.843548387,5.659966499,1.038590604,5.351304348
0.988709677,5.720268007,1.219798658,5.28173913
1.162903226,5.760469012,1.401006711,5.233043478
1.424193548,5.820770519,1.612416107,5.170434783
1.7,5.854271357,1.808724832,5.128695652
1.932258065,5.881072027,2.080536913,5.086956522
2.251612903,5.907872697,2.246644295,5.052173913
2.541935484,5.921273032,2.473154362,4.982608696
2.803225806,5.948073702,2.684563758,4.954782609
3.209677419,5.954773869,2.895973154,4.926956522
3.587096774,5.961474037,2.986577181,4.906086957
3.906451613,5.968174204,3.243288591,4.885217391
4.182258065,5.974874372,3.530201342,4.773913043
4.443548387,5.988274707,3.802013423,4.753043478
4.777419355,6.001675042,3.998322148,4.739130435
5.082258065,6.021775544,4.255033557,4.732173913
5.430645161,6.041876047,4.55704698,4.773913043
5.793548387,6.068676717,4.677852349,4.815652174
6.011290323,6.122278057,4.798657718,4.899130435
6.272580645,6.182579564,4.94966443,4.982608696
6.519354839,6.236180905,5.176174497,5.08
6.708064516,6.323283082,5.35738255,5.233043478
6.896774194,6.38358459,5.463087248,5.323478261
7.027419355,6.443886097,5.659395973,5.44173913
,,5.765100671,5.532173913
,,5.931208054,5.671304348
,,6.082214765,5.789565217
,,6.203020134,5.866086957
,,6.369127517,5.977391304
,,6.520134228,6.08173913
,,6.67114094,6.15826087
,,6.791946309,6.234782609
,,6.912751678,6.311304348
,,7.018456376,6.40173913
,,7.139261745,6.506086957
