PBD1,,pBD1GPP,
X,Y,X,Y
1.729537367,2.076045627,1.238787879,3.413461538
1.814946619,2.256653992,1.326060606,3.5
1.976275208,2.522813688,1.51030303,3.644230769
2.071174377,2.75095057,1.597575758,3.740384615
2.128113879,2.893536122,1.743030303,3.923076923
2.213523132,3.036121673,1.83030303,3.980769231
2.317912218,3.235741445,1.995151515,4.163461538
2.460260973,3.520912548,2.092121212,4.230769231
2.564650059,3.758555133,2.130909091,4.298076923
2.621589561,3.882129278,2.237575758,4.394230769
2.735468565,4.081749049,2.324848485,4.480769231
2.820877817,4.243346008,2.460606061,4.634615385
2.953736655,4.52851711,2.586666667,4.740384615
3.048635824,4.652091255,2.635151515,4.769230769
3.134045077,4.80418251,2.732121212,4.903846154
3.200474496,4.937262357,2.819393939,4.951923077
3.314353499,5.089353612,2.926060606,5.038461538
3.466192171,5.25095057,3.013333333,5.134615385
3.53262159,5.355513308,3.158787879,5.25
3.637010676,5.460076046,3.216969697,5.317307692
3.712930012,5.507604563,3.401212121,5.394230769
3.836298932,5.564638783,3.546666667,5.461538462
3.96915777,5.640684411,3.682424242,5.490384615
4.035587189,5.678707224,3.837575758,5.471153846
4.139976275,5.716730038,3.953939394,5.471153846
4.206405694,5.735741445,4.07030303,5.480769231
4.377224199,5.783269962,4.215757576,5.480769231
4.462633452,5.811787072,4.39030303,5.490384615
4.548042705,5.830798479,4.526060606,5.471153846
4.62396204,5.859315589,4.700606061,5.461538462
4.709371293,5.868821293,4.846060606,5.461538462
4.851720047,5.878326996,4.981818182,5.461538462
4.975088968,5.925855513,5.059393939,5.5
5.041518387,5.94486692,5.156363636,5.471153846
5.145907473,5.954372624,5.233939394,5.490384615
5.221826809,5.97338403,5.340606061,5.509615385
5.354685647,6.001901141,5.476363636,5.567307692
5.478054567,6.020912548,5.612121212,5.625
5.610913405,6.039923954,5.757575758,5.663461538
5.715302491,6.039923954,5.864242424,5.721153846
5.848161329,6.077946768,5.970909091,5.769230769
5.971530249,6.096958175,6.116363636,5.836538462
6.075919336,6.106463878,6.223030303,5.894230769
6.332147094,6.153992395,6.378181818,5.990384615
6.512455516,6.211026616,6.562424242,6.144230769
6.730723606,6.258555133,,
