PBD3,,PBD3GPP,
X,Y,X,Y
-0.491103203,2.228136882,-0.72969697,3.75
-0.310794781,2.560836502,-0.467878788,3.971153846
-0.234875445,2.731939163,-0.293333333,4.144230769
-0.045077106,3.102661597,-0.235151515,4.240384615
0.201660735,3.587452471,-0.031515152,4.403846154
0.258600237,3.720532319,0.210909091,4.653846154
0.457888493,4.053231939,0.278787879,4.701923077
0.704626335,4.52851711,0.463030303,4.855769231
0.790035587,4.633079848,0.715151515,5.115384615
0.970344009,4.908745247,0.792727273,5.192307692
1.198102017,5.212927757,0.938181818,5.288461538
1.274021352,5.365019011,1.219393939,5.384615385
1.454329775,5.498098859,1.287272727,5.442307692
1.691577699,5.640684411,1.452121212,5.480769231
1.767497034,5.669201521,1.694545455,5.471153846
1.93831554,5.726235741,1.781818182,5.451923077
2.194543298,5.792775665,1.956363636,5.423076923
2.431791222,5.840304183,2.227878788,5.403846154
2.697508897,5.878326996,2.431515152,5.355769231
2.925266904,5.925855513,2.712727273,5.317307692
3.181494662,5.94486692,2.770909091,5.278846154
3.266903915,5.954372624,2.955151515,5.259615385
3.456702254,5.97338403,3.265454545,5.211538462
3.674970344,5.992395437,3.44,5.192307692
3.798339265,5.992395437,3.692121212,5.173076923
3.921708185,5.992395437,3.808484848,5.125
4.045077106,6.001901141,3.934545455,5.115384615
4.177935943,6.001901141,4.07030303,5.105769231
4.320284698,6.011406844,4.167272727,5.105769231
4.415183867,6.020912548,4.303030303,5.105769231
4.557532622,6.030418251,4.429090909,5.105769231
4.671411625,6.039923954,4.555151515,5.134615385
4.823250297,6.030418251,4.690909091,5.125
4.975088968,6.039923954,4.807272727,5.144230769
5.164887307,6.068441065,4.923636364,5.163461538
5.259786477,6.068441065,5.059393939,5.211538462
5.364175563,6.077946768,5.185454545,5.259615385
5.46856465,6.087452471,5.301818182,5.336538462
5.667852906,6.096958175,5.418181818,5.394230769
5.810201661,6.115969582,5.553939394,5.461538462
5.952550415,6.134980989,5.631515152,5.519230769
6.09489917,6.173003802,5.709090909,5.576923077
6.275207592,6.201520913,5.776969697,5.615384615
,,5.864242424,5.653846154
,,5.99030303,5.711538462
,,6.096969697,5.798076923
,,6.203636364,5.865384615
,,6.32,5.923076923
,,6.436363636,6.009615385
,,6.572121212,6.125
