PS6,PS6,,
logw,Gp,logw,Gpp
3.8,5.56E+00,3.8,5.3
3.6,5.50E+00,3.6,5.185
3.4,5.45E+00,3.4,5.075
3.2,5.41E+00,3.2,4.96
3,5.385,3,4.84
2.8,5.36,2.8,4.72
2.6,5.355,2.6,4.585
2.4,5.345,2.4,4.46
2.2,5.34,2.2,4.33
2,5.335,2,4.22
1.8,5.33,1.8,4.125
1.6,5.32,1.6,4.05
1.4,5.32,1.4,3.995
1.2,5.32,1.2,3.96
1,5.315,1,3.95
0.8,5.31,0.8,3.955
0.6,5.305,0.6,3.965
0.4,5.3,0.4,3.985
0.2,5.3,0.2,4.02
0,5.295,0,4.05
-0.2,5.285,-0.2,4.095
-0.4,5.28,-0.4,4.14
-0.6,5.265,-0.6,4.185
-0.8,5.26,-0.8,4.23
-1,5.245,-1,4.275
-1.2,5.235,-1.2,4.32
-1.4,5.22,-1.4,4.36
-1.6,5.2,-1.6,4.4
-1.8,5.18,-1.8,4.435
-2,5.16,-2,4.475
-2.2,5.125,-2.2,4.51
-2.4,5.09,-2.4,4.55
-2.6,5.05,-2.6,4.58
-2.8,4.995,-2.8,4.62
-3,4.92,-3,4.66
-3.2,4.84,-3.2,4.67
-3.4,4.715,-3.4,4.66
-3.6,4.55,-3.6,4.62
-3.8,4.34,-3.8,4.54
-4,4.08,-4,4.415
-4.2,3.75,-4.2,4.26
-4.4,3.38,-4.4,4.06
-4.6,3,-4.6,3.87
-4.8,2.6,-4.8,3.66
