POLYM,M_TH,M_TRUE,SIG0,SIG1,NU,DX,DY,M_TH,M_TRUE,SIG0,SIG1(beta),NU,DX,DY
PB92-1,8.08,20.7,0.53267,0.1763,0.447,7.81,6.58,,,,,,,
PB92-2,17.76,44.1,0.442,-0.091,0.546,7.8,6.63,,,,,,,
PB92-3,35.85,97,0.469,0.101,0.616,7.79,6.67,35.07,,0.367,-0.018,0.588,7.322,6.61
PB92-4,85.6,201,1.348,0.466,0.553,7.9,6.68,,,,,,,
POLYM,M_TH,M_TRUE,SIG0,SIG1,NU,DX,DY,M_TH,M_TRUE,SIG0,SIG1,NU,DX,DY
PS6-1,7.72,125,0.504,0.145,0.399,5.286,5.9,,,,,,,
PS6-2,18.86,290,0.44,0.03,0.434,5.146,5.9,,,,,,,
PS6-3,53.57,750,0.483,0.145,0.435,5.24,5.895,,,,,,,
PS6-4,177.96,PS2740,1.618,0.489,0.45,5.17,5.916,179.6,,1.61,0.454,0.46,4.684,5.803
POLYM,M_TH,M_TRUE,SIG0,SIG1,NU,DX,DY,M_TH,M_TRUE,SIG0,SIG1,NU,DX,DY
PB01-1,,6,,,,,,,,,,,,
PB01-2,,12,,,,,,,,,,,,
PB01-3,,42,,,,,,,,,,,,
PB01-4,,60,,,,,,,,,,,,
PB01-5,37.625,89,0.794,0.3259,0.4841,7.263,6.528,37.38,,0.595,0.266,0.5935,7.895,6.598
PB01-6,82.77,181,1.9613,0.49319,0.4947,8,6.64,,,,,,,
