PBD6GP,,PBD6GPP,,PBD10GP,,PBD10GPP,,PBD41GP,,PBD41GPP,,PBD58GP,,PBD58GPP,,PBD86GP,,PBD86GPP,,PBD176GP,,PBD176GPP,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3.558064516,2.510887772,2.140939597,2.568695652,2.672580645,2.604690117,0.932885906,2.506086957,0.437096774,2.51758794,0.434563758,3.459130435,0.364516129,2.62479062,-1.13590604,2.617391304,-0.317741935,2.604690117,-1.196308725,3.146086957,-1.319354839,2.49078727,-1.422818792,3.883478261
3.688709677,2.685092127,2.291946309,2.693913043,2.788709677,2.939698492,1.129194631,2.652173913,0.669354839,2.618090452,0.570469799,3.619130435,0.524193548,2.912897822,-0.909395973,2.902608696,-0.201612903,2.798994975,-1.030201342,3.264347826,-1.188709677,2.772194305,-1.302013423,4.008695652
3.833870968,2.872696817,2.427852349,2.819130435,2.890322581,3.147403685,1.234899329,2.749565217,0.843548387,2.819095477,0.661073826,3.702608696,0.698387097,3.274706868,-0.743288591,3.027826087,-0.041935484,3.08040201,-0.909395973,3.417391304,-1,2.825795645,-1.120805369,4.140869565
3.979032258,3.067001675,2.593959732,2.979130435,2.962903226,3.207705193,1.310402685,2.84,1.061290323,2.886097152,0.796979866,3.834782609,0.8,3.529313233,-0.637583893,3.166956522,0.103225806,3.261306533,-0.728187919,3.549565217,-0.927419355,3.234505863,-1.060402685,4.328695652
4.109677419,3.274706868,2.714765101,3.104347826,3.064516129,3.448911223,1.506711409,2.951304348,1.351612903,3.147403685,0.932885906,3.932173913,0.974193548,3.743718593,-0.456375839,3.306086957,0.233870968,3.48241206,-0.592281879,3.702608696,-0.709677419,3.50921273,-0.833892617,4.44
4.283870968,3.522613065,2.880872483,3.222608696,3.209677419,3.703517588,1.672818792,3.076521739,1.438709677,3.314907873,1.129194631,4.085217391,1.090322581,3.998324958,-0.290268456,3.473043478,0.393548387,3.75041876,-0.456375839,3.820869565,-0.564516129,3.783919598,-0.758389262,4.565217391
4.414516129,3.75041876,2.97147651,3.354782609,3.369354839,3.978224456,1.808724832,3.250434783,1.583870968,3.502512563,1.219798658,4.210434783,1.25,4.273031826,-0.184563758,3.619130435,0.538709677,4.005025126,-0.33557047,3.980869565,-0.462903226,4.011725293,-0.577181208,4.711304348
4.516129032,4.005025126,3.152684564,3.493913043,3.5,4.239530988,1.91442953,3.396521739,1.714516129,3.75041876,1.340604027,4.314782609,1.366129032,4.547738693,-0.033557047,3.723478261,0.65483871,4.219430486,-0.19966443,4.07826087,-0.288709677,4.239530988,-0.395973154,4.836521739
4.70483871,4.266331658,3.333892617,3.646956522,3.64516129,4.494137353,2.05033557,3.500869565,1.830645161,3.978224456,1.461409396,4.433043478,1.511290323,4.782244556,0.117449664,3.883478261,0.829032258,4.453936348,-0.003355705,4.252173913,-0.158064516,4.561139028,-0.350671141,4.989565217
4.85,4.494137353,3.409395973,3.772173913,3.717741935,4.735343384,2.276845638,3.667826087,1.975806452,4.199329983,1.612416107,4.579130435,1.670967742,4.976549414,0.283557047,4.036521739,0.959677419,4.721943049,0.102348993,4.391304348,0.016129032,4.788944724,-0.184563758,5.12173913
4.966129032,4.708542714,3.575503356,3.932173913,3.920967742,4.943048576,2.397651007,3.806956522,2.135483871,4.447236181,1.77852349,4.690434783,1.758064516,5.177554439,0.479865772,4.217391304,1.090322581,4.929648241,0.298657718,4.565217391,0.117741935,5.003350084,0.026845638,5.212173913
5.125806452,4.956448911,3.711409396,4.064347826,4.080645161,5.123953099,2.473154362,3.932173913,2.266129032,4.675041876,1.823825503,4.822608696,1.874193548,5.324958124,0.570469799,4.307826087,1.119354839,5.036850921,0.434563758,4.676521739,0.219354839,5.204355109,0.117449664,5.323478261
5.241935484,5.144053601,3.877516779,4.203478261,4.153225806,5.204355109,2.639261745,4.043478261,2.382258065,4.896147404,2.035234899,4.954782609,1.961290323,5.432160804,0.661073826,4.488695652,1.25,5.237855946,0.58557047,4.843478261,0.364516129,5.338358459,0.313758389,5.406956522
5.387096774,5.311557789,4.02852349,4.32173913,4.429032258,5.412060302,2.744966443,4.168695652,2.498387097,5.056951424,2.140939597,5.073043478,2.164516129,5.539363484,0.827181208,4.565217391,1.424193548,5.371859296,0.736577181,4.975652174,0.49516129,5.479061977,0.494966443,5.44173913
