PBD1,,pBD1GPP,,PBD2,,PBD2GPP,,PBD3,,PBD3GPP,,PBD4,,PBD4GPP,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.729537367,2.076045627,1.238787879,3.413461538,0.676156584,2.275665399,0.433939394,3.730769231,-0.491103203,2.228136882,-0.72969697,3.75,-1.639383155,2.247148289,-1.854545455,3.701923077
1.814946619,2.256653992,1.326060606,3.5,0.752075919,2.465779468,0.686060606,3.990384615,-0.310794781,2.560836502,-0.467878788,3.971153846,-1.364175563,2.788973384,-1.621818182,3.961538462
1.976275208,2.522813688,1.51030303,3.644230769,0.941874259,2.826996198,0.783030303,4.076923077,-0.234875445,2.731939163,-0.293333333,4.144230769,-1.098457888,3.235741445,-1.35030303,4.192307692
2.071174377,2.75095057,1.597575758,3.740384615,1.036773428,3.02661597,0.957575758,4.269230769,-0.045077106,3.102661597,-0.235151515,4.240384615,-0.870699881,3.673003802,-1.117575758,4.442307692
2.128113879,2.893536122,1.743030303,3.923076923,1.169632266,3.235741445,1.054545455,4.394230769,0.201660735,3.587452471,-0.031515152,4.403846154,-0.728351127,3.910646388,-0.865454545,4.673076923
2.213523132,3.036121673,1.83030303,3.980769231,1.274021352,3.425855513,1.19030303,4.471153846,0.258600237,3.720532319,0.210909091,4.653846154,-0.633451957,4.129277567,-0.700606061,4.836538462
2.317912218,3.235741445,1.995151515,4.163461538,1.397390273,3.673003802,1.277575758,4.615384615,0.457888493,4.053231939,0.278787879,4.701923077,-0.472123369,4.376425856,-0.603636364,4.932692308
2.460260973,3.520912548,2.092121212,4.230769231,1.549228944,3.977186312,1.423030303,4.730769231,0.704626335,4.52851711,0.463030303,4.855769231,-0.367734282,4.566539924,-0.467878788,5.057692308
2.564650059,3.758555133,2.130909091,4.298076923,1.644128114,4.119771863,1.558787879,4.826923077,0.790035587,4.633079848,0.715151515,5.115384615,-0.215895611,4.794676806,-0.341818182,5.144230769
2.621589561,3.882129278,2.237575758,4.394230769,1.758007117,4.404942966,1.655757576,4.913461538,0.970344009,4.908745247,0.792727273,5.192307692,-0.09252669,4.994296578,-0.225454545,5.278846154
2.735468565,4.081749049,2.324848485,4.480769231,1.881376038,4.595057034,1.791515152,5.067307692,1.198102017,5.212927757,0.938181818,5.288461538,0.03084223,5.174904943,-0.109090909,5.375
2.820877817,4.243346008,2.460606061,4.634615385,1.928825623,4.690114068,1.917575758,5.182692308,1.274021352,5.365019011,1.219393939,5.384615385,0.116251483,5.269961977,0.036363636,5.423076923
2.953736655,4.52851711,2.586666667,4.740384615,2.042704626,4.880228137,2.063030303,5.298076923,1.454329775,5.498098859,1.287272727,5.442307692,0.287069988,5.450570342,0.133333333,5.461538462
3.048635824,4.652091255,2.635151515,4.769230769,2.137603796,5.032319392,2.16,5.326923077,1.691577699,5.640684411,1.452121212,5.480769231,0.381969158,5.517110266,0.288484848,5.5
